,Surname,EstimatedSalary,Exited
136,Li,167784.28,0
137,Ma,93165.34,0
138,Chia,75161.25,1
139,Vasin,8590.83,1
140,Groves,189543.9,0
141,Tien,180427.24,0
142,Forwood,193318.33,0
143,Greeves,159123.82,1
144,Taylor,126213.84,1
145,Madukwe,54141.5,0
146,Bennelong,141075.51,0
147,Olisanugo,24495.03,0
148,Chukwufumnanya,74836.34,0
149,Harris,878.87,0
150,Morgan,89520.75,0
151,Alexeeva,149892.79,1
152,Metcalfe,180800.42,0
153,Humphries,98646.22,0
154,Milne,109041.53,0
155,Chou,17941.16,1
156,Li,82996.47,0
157,Clayton,92067.35,0
158,Maclean,104719.66,0
159,Chigolum,112687.57,0
160,Wilkinson,84699.56,0
161,Wei,83473.82,0
162,Treacy,47125.11,0
163,Hu,106977.8,0
164,Taverner,55582.54,1
165,Sherman,139874.43,0
166,Taubman,162503.48,1
167,Robinson,196499.96,0
168,Pinto,40721.24,1
169,Wood,53134.3,0
170,Hawkins,164017.89,0
171,Sun,155996.96,0
172,Yost,5472.7,1
173,Ting,112187.11,0
174,Rowe,146457.83,0
175,Fu,27286.1,0
176,Ho,130553.47,0
177,Okechukwu,179351.89,0
178,Campbell,94774.12,0
179,Ashbolt,8080.85,1
180,Rozier,19482.5,0
181,Hsia,48071.61,0
182,Ogbonnaya,174531.27,0
183,T'ang,55470.78,0
184,Cocci,8546.87,1
185,Chang,95857.18,0
186,T'ao,194945.8,0
187,Ford,131521.72,0
188,Marshall,196108.51,0
189,Tsai,148564.76,0
190,Onwumelu,92982.61,1
191,Graham,17675.36,0
192,Golovanov,114996.43,0
193,Potts,86957.42,0
194,Crawford,128077.8,0
195,Aleshire,600.36,0
196,Moran,43001.46,0
197,Samsonova,158591.12,0
198,Jenkins,47847.19,0
199,Volkov,10488.44,0
200,Chiemezie,5978.2,0
201,Jude,121409.06,0
202,He,146145.93,1
203,Onuora,14374.86,1
204,Ginikanwa,94670.77,0
205,Ku,179670.31,0
206,McDonald,199304.74,1
207,Collins,151954.39,0
208,Hackett,142513.5,1
209,Dike,158264.62,0
210,Trevisano,169381.9,0
211,Tan,169915.02,0
212,Glassman,88852.47,0
213,Miller,40645.81,0
214,Kornilova,60427.3,0
215,Watson,157959.02,1
216,Marchesi,133007.34,0
217,Millar,176576.62,0
218,Shih,34888.04,1
219,Fuller,28737.71,1
220,Hay,98178.57,0
221,Yang,125010.24,0
222,McIntyre,167984.61,0
223,Stevenson,4861.72,1
224,Poole,108872.45,1
225,Bagley,198252.88,0
226,Ch'ien,26960.31,0
227,Cattaneo,85746.52,1
228,O'Sullivan,77206.25,1
229,Lucas,61048.53,0
230,Ringrose,111981.19,0
231,Freeman,62232.6,0
232,Sergeyev,156105.03,0
233,Fiore,150135.38,0
234,Smith,93146.11,0
235,Dumetochukwu,33462.94,1
236,Pacheco,144375.0,0
237,Synnot,55803.96,1
238,Johnston,89048.46,1
239,Stevens,162812.16,0
240,Grant,136259.65,0
241,Tsao,124052.97,0
242,Barnes,74158.8,0
243,McIntosh,45071.09,1
244,Madison,62030.06,0
245,Ifesinachi,131953.23,1
246,Glazkov,79414.0,0
247,Dimauro,199638.56,0
248,Wieck,157577.29,0
249,Liao,134420.75,1
250,Hughes,99805.99,0
251,Morrison,97932.68,0
252,Matveyeva,170968.99,0
253,Ku,57558.95,0
254,Cheatham,176713.47,0
255,Yao,34283.23,0
256,Kirkland,198637.34,0
257,Rose,156917.12,0
258,Jess,50457.2,0
259,Welch,140075.55,0
260,Ifeajuna,65323.11,0
261,Morton,64323.24,0
262,Rossi,14956.44,0
263,Reppert,111879.21,0
264,Kang,18606.23,0
265,Ch'iu,123137.01,0
266,Wallis,148528.24,0
267,Clark,13898.31,0
268,Fielding,81259.25,1
269,Zetticci,161051.75,0
270,Dulhunty,191599.67,0
271,Bevington,48559.19,1
272,Boyle,186339.74,0
273,Newton,33159.37,0
274,Bowman,93883.53,0
275,Dubinina,110899.3,0
276,Toscani,11199.04,1
277,Chiazagomekpere,189992.97,0
278,Allen,164255.69,0
279,K'ung,152167.79,1
280,Wilsmore,33949.67,0
281,Hargreaves,68143.93,0
282,Huang,47251.79,1
283,Ch'ien,25885.72,0
284,Wallwork,192633.85,0
285,Chu,34577.36,0
286,Kang,161229.84,0
287,Davidson,100816.29,0
288,O'Donnell,181694.44,0
289,Nnachetam,79078.91,0
290,Chidiebele,137316.32,0
291,Ahmed,194926.86,0
292,Booth,51285.49,0
293,Chuang,150401.53,1
294,Shao,112491.96,0
295,Tsao,73656.38,0
296,Tien,106636.89,0
297,Chang,155853.52,1
298,Johnson,162599.51,0
299,French,103737.82,0
300,Efremov,160990.27,0
301,Hartley,15462.84,0
302,Calabrese,10334.05,0
303,Chiu,190686.16,0
304,Brennan,94440.45,0
305,Onwuatuegwu,28257.63,0
306,Hewitt,170034.95,1
307,Shih,31824.29,0
308,Balashov,127166.49,1
309,Doyle,44937.01,0
310,Pokrovskii,188603.07,0
311,Collins,145111.37,0
312,Russo,171463.83,0
313,Skinner,182822.5,0
314,Robertson,87213.33,0
315,Atkinson,57175.32,0
316,Doyle,120540.83,1
317,Ritchie,28714.34,0
318,McEncroe,85426.28,0
319,Pearson,46170.75,0
320,Gordon,64448.36,0
321,Ts'ai,16278.97,0
322,Lung,182855.42,1
323,Yuan,50404.72,0
324,Pardey,107640.25,0
325,Tai,134132.65,0
326,Scott,103480.69,0
327,Hunter,108761.05,1
328,Mazzanti,179012.3,0
329,L?,95145.14,0
330,Beach,72143.44,0
331,Hsieh,19162.89,0
332,Faulkner,144680.18,0
333,Knowles,177772.03,1
334,Day,5597.94,0
335,Hsueh,116828.51,1
336,Tsao,174652.51,0
337,Kennedy,2010.98,0
338,Nwabugwu,14109.85,1
339,Young,43527.4,1
340,Kerr,86099.23,1
341,Tien,161574.19,0
342,Marrero,38970.14,0
343,White,127587.22,0
344,Pisano,30380.12,0
345,Brown,90908.95,0
346,Freeman,138275.01,0
347,Russell,32171.79,0
348,Seleznyov,126143.23,0
349,Yusupova,129892.93,0
350,Foley,102416.84,0
351,Shih,18719.67,0
352,Ikedinachukwu,61936.22,0
353,Power,78358.94,0
354,Amos,147224.27,0
355,Reed,160979.66,0
356,Simmons,132298.49,0
357,Ricci,174248.52,1
358,Yen,123547.28,0
359,Campbell,32790.02,0
360,West,181543.67,0
361,Robinson,2319.96,1
362,Bianchi,189543.19,0
363,Chen,10940.4,0
364,Madukaego,199493.38,0
365,Ibrahimova,188193.25,0
366,Nolan,172572.64,0
367,Scott,189339.6,0
368,Blair,53512.16,0
369,Monaldo,34004.44,0
370,Sutherland,10598.29,0
371,Cole,113428.77,0
372,Briggs,183487.98,0
373,Gregory,187658.09,0
374,Bianchi,172459.39,0
375,Angelo,21016.0,0
376,Gardiner,122381.02,1
377,Kerr,128123.66,0
378,Ko,19570.63,0
379,Distefano,188150.6,1
380,Farrell,111020.24,0
381,Milano,123775.15,0
382,Ting,146700.22,0
383,Boyd,145251.35,0
384,Onyemaechi,82463.69,0
385,Black,15928.49,0
386,Oliver,45886.33,0
387,Greco,186489.95,0
388,Whitehead,162922.65,0
389,Ikemefuna,9262.77,0
390,Morrison,84932.4,0
391,Onyeoruru,71557.12,0
392,Cunningham,77405.95,1
393,Demidov,417.41,1
394,Celis,71405.17,0
395,Cheng,153400.24,0
396,Knight,371.05,0
397,Morin,67789.99,0
398,Mills,145894.9,0
399,Outhwaite,183840.51,1
400,Tung,108887.44,0
401,Pai,154071.27,0
402,Carpenter,179291.85,0
403,Fennell,56937.43,0
404,Fontaine,112239.03,0
405,Pratt,45909.87,0
406,Mitchell,173779.25,1
407,Franklin,125696.26,0
408,K'ung,159585.61,0
409,Ko,106761.47,0
410,McKenzie,129590.18,0
411,Pino,80006.65,0
412,Fisk,140451.52,0
413,Chiang,187929.43,1
414,Moseley,167155.36,0
415,Hsiung,191420.71,0
416,Heath,11384.45,1
417,Dellucci,94898.1,0
418,Li,106781.59,0
419,De Salis,159508.52,0
420,T'ang,93524.19,1
421,Richardson,87168.46,0
422,Fitch,8128.32,1
423,Stevenson,125518.32,0
424,Estes,48963.59,0
425,Lattimore,98368.24,0
426,Chung,148584.61,0
427,Utz,27474.81,0
428,Wei,76192.21,0
429,Boyle,134600.94,1
430,Nwachinemelu,72467.99,1
431,Kuznetsova,199645.45,0
432,Pisani,42749.85,0
433,Manna,136050.44,1
434,Collier,73564.44,0
435,Ricci,85578.63,0
436,Carr,129826.89,0
437,Hs?,119666.0,0
438,Findlay,68052.08,0
439,Hughes,164104.74,0
440,Chukwuemeka,80190.36,0
441,Genovese,84126.75,0
442,Swift,70179.0,0
443,Ugoji,118024.1,0
444,Parkinson,145704.19,1
445,Ross,183049.41,0
446,Oleary,120906.83,0
447,Turnbull,100433.83,0
448,Uspensky,138777.0,1
449,Cook,124694.99,0
450,Newbold,40084.32,0
451,Uchechukwu,119232.33,0
452,Ch'en,43921.36,0
453,He,62222.81,0
454,Hilton,56577.0,0
455,Sal,164253.35,0
456,Eluemuno,7666.73,0
457,Titus,68487.51,0
458,Yin,199273.98,1
459,Lettiere,186062.36,0
460,Templeman,195711.16,0
461,Chibuzo,36692.17,0
462,Sun,106920.57,0
463,Evans,48725.68,1
464,Ogbonnaya,167036.94,0
465,Enyinnaya,68777.26,0
466,Olisanugo,18924.92,0
467,Brookes,71905.77,1
468,Padovano,64833.28,0
469,Fisk,184843.77,0
470,Shih,176730.02,0
471,Hare,20629.4,1
472,Muir,28415.36,0
473,Fanucci,77231.27,0
474,Elewechi,102750.7,0
475,Johnston,34580.8,1
476,Pisano,183598.77,0
477,Ankudinov,147358.27,0
478,Nwokike,108469.2,0
479,Smith,20612.82,0
480,Atkins,181196.76,0
481,Burns,160249.1,0
482,Obiuto,110783.28,0
483,Pirozzi,144995.33,0
484,George,150227.85,1
485,Lewis,53718.28,0
486,Moran,75248.3,0
487,Dalrymple,14353.43,1
488,Carslaw,130486.57,0
489,Kirby,100127.71,0
490,Houghton,196356.17,0
491,Martin,9983.88,0
492,Tan,118974.77,0
493,Hsia,194998.34,1
494,Westerberg,134901.34,1
495,Hale,72924.56,0
496,Kryukova,101057.95,0
497,Sopuluchukwu,142838.64,0
498,Barry,127059.04,0
499,Selezneva,116503.92,1
500,Chizuoke,54405.79,0
501,Lueck,88721.84,0
502,Udinese,74135.48,1
503,Udobata,111346.22,0
504,Freeman,194902.16,0
505,Outlaw,31474.27,0
506,Obiuto,21198.39,0
507,Lo,186976.6,0
508,Okechukwu,117202.19,0
509,King,143739.29,0
510,Forbes,161811.23,0
511,Macleod,98090.91,0
512,Gibbs,71095.41,0
513,Isayev,13107.24,0
514,Pisano,67110.59,1
515,Belstead,88225.02,0
516,Vassiliev,62256.87,1
517,Schneider,135925.72,0
518,Mazzanti,177815.87,1
519,Knipe,126471.13,0
520,Macartney,188574.12,1
521,Madukwe,119175.45,0
522,Watts,139093.73,0
523,Humphreys,115916.55,0
524,Wu,96463.25,0
525,Chin,112349.51,0
526,Chesnokova,165303.79,0
527,Kung,166031.08,0
528,Lu,38411.79,1
529,Nkemakolam,77783.35,0
530,Walton,29871.79,0
531,Brookes,59747.63,0
532,Baldwin,79919.13,0
533,Mai,76773.53,0
534,Shih,54018.93,0
535,He,70649.64,1
536,Fiorentini,59093.39,0
537,Lucciano,127569.8,0
538,Ferreira,18260.98,1
539,Ukaegbunam,73275.96,1
540,De Luca,136129.49,0
541,Milne,153237.59,0
542,Davide,106841.12,0
543,Kodilinyechukwu,109078.35,1
544,Little,87822.14,1
545,Burns,126644.98,0
546,Paterson,47414.15,0
547,Han,41879.99,0
548,Kryukova,75808.1,0
549,Ijendu,47911.03,0
550,Reichard,28737.78,0
551,Day,2079.2,1
552,Price,121562.33,0
553,Bruce,55003.79,0
554,Sumrall,193131.42,0
555,Lu,191932.27,1
556,Lazarev,159418.1,0
557,Miller,191468.78,1
558,Wentworth-Shields,38913.68,0
559,Ritchie,705.18,0
560,Mackenzie,138490.03,0
561,Power,82970.69,0
562,Tan,76744.72,0
563,Pendergrass,71244.59,1
564,Evans,12182.15,0
565,Hsia,141210.5,0
566,Billson,191763.07,1
567,Teng,37938.74,0
568,Moretti,74890.58,0
569,Jordan,166698.18,0
570,Ts'ao,62678.53,0
571,Osborne,67740.08,1
572,Carslaw,161519.77,0
573,Ch'ang,159835.78,1
574,Hung,30876.84,0
575,Gordon,14858.1,0
576,Obialo,75685.97,0
577,Gray,144183.1,0
578,Lin,65170.66,0
579,Hopkins,82526.92,0
580,Dobson,169161.46,0
581,McKay,109291.39,1
582,Revell,6057.81,0
583,Rickards,77077.14,0
584,Begum,54954.51,1
585,Onyinyechukwuka,179614.8,1
586,Zuyev,35588.07,1
587,Nwankwo,117356.14,0
588,Hao,160696.72,0
589,Ma,147278.43,1
590,Okwuadigbo,56594.36,1
591,Mitchell,1299.75,0
592,Chan,25095.03,0
593,Buchi,146326.45,0
594,Greco,38296.21,0
595,Lombardi,164061.6,0
596,Uchenna,107811.28,0
597,Coffman,30838.51,0
598,Alexandrova,9221.78,1
599,Fallaci,33738.27,0
600,Hudson,110916.15,1
601,Mai,169654.57,0
602,Stout,69829.4,0
603,Burke,54926.51,1
604,Chadwick,94728.49,0
605,Lawrence,80393.27,0
606,Bellucci,111307.98,0
607,Harper,19834.32,0
608,Boyle,78397.24,0
609,Duncan,86410.28,0
610,Moss,172749.65,0
611,Avdeyeva,1002.39,0
612,Crawford,13601.79,0
613,Lynton,77866.91,0
614,Duncan,175296.76,0
615,Gether,121751.04,1
616,Davidson,89593.26,0
617,Larionova,193437.89,1
618,Loggia,86945.0,0
619,Steinhoff,183318.79,0
620,Guerra,71154.1,0
621,Pai,151887.16,0
622,Craig,75888.65,0
623,Lazareva,89566.74,0
624,Ch'iu,26475.79,0
625,Alderete,126355.8,0
626,Kung,93839.3,0
627,Palermo,7698.6,0
628,Ts'ai,145593.85,0
629,Rahman,45042.56,0
630,McMillan,61108.56,1
631,Pickering,57553.98,1
632,Mirams,62674.42,0
633,Tsao,12120.79,0
634,Douglas,50129.87,1
635,Jideofor,55022.43,0
636,Bell,117834.91,0
637,Mairinger,168840.23,0
638,McIntyre,24234.11,0
639,Pagnotto,190627.01,0
640,K'ung,156618.38,1
641,Feng,42334.38,0
642,Donaldson,110784.42,0
643,Chambers,173683.0,1
644,Marcelo,27046.46,1
645,Ejimofor,20598.59,1
646,Dale,104991.28,0
647,Pokrovsky,8996.97,0
648,Stonebraker,64420.5,0
649,Liang,145700.22,0
650,Anderson,196335.48,0
651,Christian,14781.12,0
652,Mao,108139.23,0
653,Campbell,19287.06,1
654,Ginikanwa,9567.39,0
655,Toscani,132210.49,0
656,Nnachetam,21600.11,0
657,Sagese,199661.5,0
658,Fleming,124341.49,0
659,Grubb,15766.1,0
660,Napolitani,33642.21,0
661,Anenechi,117704.65,0
662,Chandler,58803.28,0
663,Howells,137537.22,0
664,Akeroyd,131300.68,0
665,Onwumelu,84174.81,0
666,Wallace,160941.78,0
667,Uwaezuoke,143954.99,0
668,Loyau,56297.85,0
669,Small,8404.73,0
670,Bledsoe,30020.09,0
671,Kao,58137.42,0
672,Wickens,47472.68,0
673,Wertheim,19131.71,0
674,He,187288.5,0
675,Jarvis,17603.81,0
676,P'an,67020.03,0
677,Repina,147802.94,1
678,Pugliesi,41610.62,0
679,Blakey,44255.65,0
680,Nucci,78416.14,0
681,Higinbotham,137254.55,0
682,Achebe,151303.48,0
683,Russo,86333.63,0
684,Trevisani,89801.9,0
685,Dobie,29358.57,1
686,Maccallum,181600.72,0
687,Watkins,124118.71,1
688,Mitchel,38867.46,1
689,Ferdinand,31106.67,0
690,Otitodilinna,67611.36,0
691,Mamelu,77837.63,0
692,Beneventi,6078.46,0
693,Perrodin,177896.92,0
694,Chinagorom,123882.73,0
695,Napolitano,15304.08,0
696,Edgar,76569.64,1
697,Walker,120657.32,1
698,Steele,16436.56,0
699,Elkins,107667.91,0
700,Hao,95611.47,0
701,Toscano,19799.26,0
702,Savage,123214.74,0
703,Okwuadigbo,71709.12,0
704,Mordvinova,149066.14,0
705,Welch,20451.99,1
706,Kent,32825.5,0
707,Campbell,6232.31,0
708,Cooper,10357.03,0
709,Mazzi,147794.63,0
710,Fisher,116973.48,0
711,Summers,129964.94,0
712,Brady,92816.86,0
713,Nicholls,172114.67,0
714,Yuan,16649.31,1
715,Robinson,144517.19,0
716,Golubov,182038.6,0
717,Chen,24210.56,0
718,Oldham,172175.9,0
719,Kambinachi,47578.45,0
720,Fleming,150694.42,1
721,Cunningham,177683.02,1
722,Obinna,66088.83,0
723,Chinwemma,169291.7,0
724,Carpenter,117140.41,0
725,Yin,79510.37,0
726,Olsen,77108.66,0
727,Ts'ai,9679.28,0
728,Jen,81753.92,0
729,Preston,131372.38,1
730,Ozioma,25310.82,0
731,Cody,187925.75,0
732,Ponomarev,98820.39,0
733,Martin,64166.7,1
734,Milani,176924.21,1
735,Tang,90055.08,0
736,Romani,72814.31,0
737,McIntyre,168290.06,0
738,Davis,161767.38,0
739,Onyemauchechukwu,44420.18,0
740,Gell,37147.61,0
741,Rossi,125381.02,0
742,Chiwetelu,149853.89,0
743,Kirillova,161435.02,1
744,Shaw,102925.76,0
745,Smith,70899.27,0
746,Hsieh,145936.28,0
747,Onyemauchechukwu,54227.06,0
748,Martin,59280.79,0
749,Okwudilichukwu,126952.5,0
750,Onuoha,130567.02,0
751,Muecke,73294.48,0
752,Hsieh,3937.37,0
753,Anderson,2383.59,0
754,Azubuike,14279.44,0
755,Nnonso,141300.53,0
756,Fuller,78140.75,0
757,Ashley,117431.1,0
758,Ts'ui,72008.61,0
759,Buccho,60887.58,0
760,Chidozie,194764.83,0
761,Maclean,88705.14,1
762,Burns,35817.97,1
763,Chu,31520.4,0
764,Kenenna,157908.19,1
765,Beluchi,142200.15,0
766,Williamson,182055.36,0
767,Bobrov,157552.08,1
768,Kerr,120284.67,0
769,McKenzie,24506.95,1
770,Pitts,47271.61,1
771,Standish,41176.6,0
772,Cartwright,9468.64,0
773,Johnstone,123880.19,0
774,Nikitina,158887.09,1
775,McElroy,117036.38,0
776,Shen,120415.61,1
777,Archer,16064.25,1
778,Otutodilinna,52615.62,0
779,Shih,121210.09,0
780,Denisov,192247.35,0
781,Owens,68759.57,0
782,P'eng,75937.47,0
783,Verco,84569.13,0
784,Bergamaschi,190696.35,1
785,Lorenzo,67468.67,0
786,Outtrim,104435.94,0
787,Hou,47166.55,0
788,Galkin,119899.52,0
789,Pagnotto,173498.45,0
790,Echezonachukwu,93249.26,0
791,Young,142917.54,0
792,Summers,111755.8,0
793,Munro,108543.21,0
794,Brennan,180345.44,0
795,Ball,99444.02,0
796,Virgo,109563.28,0
797,Trevisani,92568.07,0
798,Padovano,37976.36,0
799,Tao,103315.74,0
800,Perez,173952.5,0
801,Fraser,34673.98,0
802,Alley,46163.44,0
803,Howells,140676.98,0
804,Cameron,151738.54,0
805,Hooper,14679.81,1
806,Rice,175544.02,0
807,Cox,181964.6,0
808,Martin,136886.86,0
809,Ikenna,122218.23,0
810,Davide,180439.75,0
811,Alexander,190419.81,0
812,Piazza,58685.59,0
813,Ni,89017.38,1
814,Black,50051.42,0
815,Harker,146041.45,0
816,Hughes,191166.09,0
817,Chiabuotu,103516.08,1
818,Kuo,164825.04,0
819,Gallagher,172557.77,0
820,Calabresi,84320.94,0
821,Shaw,122662.98,0
822,Zhirov,72085.1,0
823,Lloyd,110932.24,1
824,Palmer,143635.36,0
825,Ch'eng,3710.34,0
826,Avent,179843.33,0
827,Huang,10643.38,0
828,Shaw,131167.98,0
829,Yuan,10553.31,0
830,Hawkins,130928.22,0
831,Trentini,157003.99,0
832,Cameron,138527.56,0
833,Koehler,167032.49,0
834,Wu,41642.29,0
835,Manna,9677.0,0
836,Okoli,147012.22,0
837,Ch'eng,80553.87,0
838,Nwokezuike,30730.95,1
839,Artemiev,140134.43,0
840,Esposito,91936.1,1
841,Abbie,178252.63,0
842,Fanucci,198674.08,0
843,Jen,28266.9,1
844,Moss,92381.01,0
845,Lo,135180.11,0
846,Averyanov,27330.59,0
847,Unaipon,125305.34,0
848,Clamp,149648.45,0
849,Lim,59887.15,0
850,Wu,45041.32,0
851,Wan,113316.77,1
852,Chambers,39087.42,0
853,Pettit,7330.59,0
854,Baresi,95463.29,0
855,Newbery,167848.02,0
856,Iheanacho,93953.84,1
857,Duncan,174227.66,0
858,Barry,135399.21,0
859,Landry,195635.3,1
860,McGregor,97508.04,1
861,Nucci,188083.77,1
862,Pirogov,116704.25,0
863,Oguejiofor,97614.87,0
864,Ugochukwu,186884.04,0
865,Rohu,131501.72,0
866,Cary,24302.95,0
867,O'Loghlen,110510.28,1
868,Quinn,108488.33,1
869,Page,197015.2,0
870,Evans,27689.77,0
871,McGregor,9217.55,1
872,Andrews,15068.18,0
873,Stanley,7797.01,0
874,Chiazagomekpere,4400.32,0
875,Chidiebele,182025.95,0
876,Gregory,122763.95,0
877,Bednall,38152.01,0
878,Jen,63163.99,0
879,She,73418.29,0
880,Simmons,17978.68,1
881,Fraser,115136.51,1
882,May,149575.59,0
883,Seabrook,60917.24,1
884,Herrera,142548.33,0
885,Kincaid,157878.67,0
886,Sleeman,12796.43,0
887,Hung,18657.77,0
888,Artemieva,134589.58,0
889,Barwell,10350.74,0
890,Wright,66013.27,0
891,Bellucci,5907.11,0
892,Moore,74077.91,0
893,Ball,77294.56,1
894,Sung,54359.02,1
895,Mello,156124.93,0
896,Mistry,94820.85,0
897,T'ien,155155.25,0
898,Fallaci,128702.1,1
899,Hill,22745.5,0
900,Burns,71865.31,1
901,Hunter,84294.82,0
902,Li,149139.13,0
903,Ku,185489.11,0
904,Ch'en,176407.15,1
905,Chukwukadibia,92027.69,1
906,Zikoranachidimma,43932.54,0
907,Oluchukwu,115789.25,1
908,Rivera,125777.28,0
909,Niu,18461.9,0
910,Bennett,79633.38,0
911,Wollstonecraft,121542.29,0
912,Thomsen,94739.2,0
913,Palermo,93302.29,0
914,Chinwendu,193793.78,0
915,McKenzie,74835.65,0
916,James,56999.9,1
917,Lamb,57236.44,0
918,Olejuru,81483.64,0
919,Hay,26752.56,0
920,Lu,9200.54,0
921,Chiawuotu,22447.85,1
922,Yeates,189122.89,1
923,Gallagher,16161.82,0
924,Heath,68600.36,0
925,Ts'ai,447.73,0
926,Thurgood,15650.73,0
927,Pai,149599.62,0
928,Lorenzo,90304.01,0
929,Knupp,115676.38,0
930,Baryshnikov,38812.67,0
931,Azubuike,34338.21,0
932,Shephard,823.36,0
933,Scott,135482.26,1
934,Williamson,10656.89,0
935,Avdeeva,116467.35,0
936,Tang,96823.32,1
937,Hsu,171096.2,0
938,Buchanan,79881.39,0
939,Yeh,157862.82,0
940,Palazzi,127951.81,0
941,Y?an,191074.11,0
942,Lin,157333.69,1
943,Schofield,133457.52,0
944,Lombardi,130789.6,0
945,Wall,128373.88,0
946,Milani,194273.2,1
947,Ejimofor,5684.17,1
948,Blackburn,131043.2,0
949,Wickham,21228.34,1
950,Bird,43250.3,0
951,Ch'en,4389.4,0
952,Wood,189271.9,0
953,Brizendine,102284.2,0
954,Ch'in,156774.94,1
955,Yusupov,69865.49,0
956,Jibunoh,85523.24,0
957,Ts'ui,51219.8,0
958,Ndukaku,7222.92,0
959,Wilder,23971.33,0
960,Maclean,132173.31,0
961,Ch'iu,113639.64,0
962,Cox,39768.59,0
963,Nepean,108732.96,1
964,McNess,117349.19,1
965,Coles,78004.5,0
966,Benson,152417.79,0
967,Gilbert,26057.08,0
968,Wilhelm,79972.09,0
969,Sinclair,107125.79,0
970,L?,47679.14,0
971,Buckner,134509.47,0
972,Padovesi,153265.31,0
973,Gray,179883.04,0
974,Lu,138882.98,0
975,Wright,9855.81,0
976,Palerma,67046.83,1
977,Y?an,56388.63,0
978,Wei,77764.37,0
979,Padovesi,130590.35,0
980,Tsao,151912.49,0
